question,document
What does RAG actually do to help an LLM answer questions better?,01-agentic-rag/lessons/01-intro.md
Why does the course build the RAG system in plain Python instead of using a framework right away?,01-agentic-rag/lessons/01-intro.md
What are the main limits of an LLM that RAG is meant to fix?,01-agentic-rag/lessons/01-intro.md
What kind of example project will this module build for the course?,01-agentic-rag/lessons/01-intro.md
"What will be covered in the first part of the module, and how is the second part different?",01-agentic-rag/lessons/01-intro.md
"What do I need installed before starting this module, and is Jupyter enough on its own?",01-agentic-rag/lessons/02-environment.md
How do I set up a new project from scratch for this course using uv?,01-agentic-rag/lessons/02-environment.md
"Which packages does this lesson tell me to install, and what is each one for?",01-agentic-rag/lessons/02-environment.md
What’s the safest way to keep my API key private when working on this project?,01-agentic-rag/lessons/02-environment.md
How can I use a different LLM provider like Groq instead of OpenAI in my notebook?,01-agentic-rag/lessons/02-environment.md
Why doesn't a plain LLM give a good answer when I ask it a course-specific question like whether I can join after the course started?,01-agentic-rag/lessons/03-rag.md
What do I need to add to a prompt so the model can answer using our course FAQ instead of guessing?,01-agentic-rag/lessons/03-rag.md
"What does RAG stand for, and what are the retrieval and generation parts?",01-agentic-rag/lessons/03-rag.md
Why is search quality such a big deal in a RAG setup?,01-agentic-rag/lessons/03-rag.md
"If I wanted to switch the LLM or the search tool later, can I do that without changing the whole system?",01-agentic-rag/lessons/03-rag.md
"Where does the FAQ data come from, and how do you download it in the lesson?",01-agentic-rag/lessons/04-dataset.md
What fields does each FAQ item include in this dataset?,01-agentic-rag/lessons/04-dataset.md
Why is the course slug useful when searching these FAQ entries?,01-agentic-rag/lessons/04-dataset.md
How is this FAQ dataset used inside the RAG workflow?,01-agentic-rag/lessons/04-dataset.md
Does the lesson say you need to do much cleaning or formatting before using the data?,01-agentic-rag/lessons/04-dataset.md
What does a basic search engine do with a query and a set of documents?,01-agentic-rag/lessons/05-search.md
Why would keyword search have trouble with two questions that mean the same thing but use different words?,01-agentic-rag/lessons/05-search.md
How does minsearch decide which fields to search as text and which one to treat as an exact match field?,01-agentic-rag/lessons/05-search.md
Why does the lesson recommend filtering search results by course when answering a question about one class?,01-agentic-rag/lessons/05-search.md
What do field boosting and the course filter change when you run a search in minsearch?,01-agentic-rag/lessons/05-search.md
Why do we need to include the search results in the prompt before sending it to the LLM?,01-agentic-rag/lessons/06-building-prompt.md
What is the difference between the system instructions and the user prompt in this setup?,01-agentic-rag/lessons/06-building-prompt.md
How should the instructions tell the model to behave when the answer isn’t in the provided context?,01-agentic-rag/lessons/06-building-prompt.md
What does the context-building step do with each search result before making the final prompt?,01-agentic-rag/lessons/06-building-prompt.md
Why is it better to keep the fixed instructions separate from the changing question and context?,01-agentic-rag/lessons/06-building-prompt.md
How do you actually send the prepared prompt to the model in this RAG setup?,01-agentic-rag/lessons/07-llm.md
"What’s the difference between the newer OpenAI API and the older one, and which one do you use here?",01-agentic-rag/lessons/07-llm.md
"Where do you find the model’s reply in the response object, and is there an easier way to get just the text?",01-agentic-rag/lessons/07-llm.md
How do you estimate how much a request costs using the token usage numbers?,01-agentic-rag/lessons/07-llm.md
Why does the RAG function pass both instructions and the user query as separate messages before calling the model?,01-agentic-rag/lessons/07-llm.md
Why does the lesson split the RAG code into two separate Python files instead of keeping everything in notebooks?,01-agentic-rag/lessons/08-rag-helper.md
What do `load_faq_data()` and `build_index()` do in `ingest.py`?,01-agentic-rag/lessons/08-rag-helper.md
"Why is the RAG logic wrapped in a class, and what problem does that solve with the index and LLM client?",01-agentic-rag/lessons/08-rag-helper.md
"What happens inside the `search`, `build_context`, `build_prompt`, `llm`, and `rag` methods?",01-agentic-rag/lessons/08-rag-helper.md
"How do you create and use the helper class in a notebook, and how can you change its default instructions?",01-agentic-rag/lessons/08-rag-helper.md
Why does loading and building the index at startup stop working when the document set gets much bigger?,01-agentic-rag/lessons/09-data-ingestion.md
What is the point of separating ingestion into one process and querying into another in a RAG system?,01-agentic-rag/lessons/09-data-ingestion.md
"Why is sqlitesearch used here instead of minsearch, and what makes it different?",01-agentic-rag/lessons/09-data-ingestion.md
How do the ingestion notebook and the querying notebook work together through the same database file?,01-agentic-rag/lessons/09-data-ingestion.md
"When should you keep using minsearch, and when is it better to switch to a persistent search backend?",01-agentic-rag/lessons/09-data-ingestion.md
"What are the main pieces of a basic RAG setup, and how do they work together?",01-agentic-rag/lessons/10-rag-next-steps.md
Why would an agent help if the first search with the user’s exact query doesn’t return good results?,01-agentic-rag/lessons/10-rag-next-steps.md
How is vector search different from keyword search in this course?,01-agentic-rag/lessons/10-rag-next-steps.md
When would Elasticsearch be a better search backend than the simpler sqlite-based search tool?,01-agentic-rag/lessons/10-rag-next-steps.md
Why is RAG usually a better first choice than fine-tuning for adding your own data to an LLM?,01-agentic-rag/lessons/10-rag-next-steps.md
Why can a normal RAG pipeline fail when the user asks something a little differently or has a typo?,01-agentic-rag/lessons/11-agents-intro.md
What can the LLM do differently once it is allowed to control the search step instead of following a fixed flow?,01-agentic-rag/lessons/11-agents-intro.md
What does it mean for a system to be agentic in this lesson?,01-agentic-rag/lessons/11-agents-intro.md
"How does an agent decide what to do, and does it always follow the same order of steps?",01-agentic-rag/lessons/11-agents-intro.md
What topics will the next part of the module cover after this introduction to agents?,01-agentic-rag/lessons/11-agents-intro.md
What does the RAG setup in this lesson do with the course FAQ before sending anything to the model?,01-agentic-rag/lessons/12-rag-revision.md
"Which two helper files are used here, and what are they each responsible for?",01-agentic-rag/lessons/12-rag-revision.md
How do you initialize the OpenAI client and build the FAQ search index in this example?,01-agentic-rag/lessons/12-rag-revision.md
"Why does the question with the typo ""Olama"" fail while ""Ollama"" works?",01-agentic-rag/lessons/12-rag-revision.md
"What is the main weakness of this fixed RAG pipeline, and why does the lesson say an agent is needed next?",01-agentic-rag/lessons/12-rag-revision.md
"Why does a normal RAG setup fail when the user misspells Ollama, and how does letting the model use a search tool fix that?",01-agentic-rag/lessons/13-function-calling.md
"In function calling, what does the model actually receive about a tool, and why is the tool description so important?",01-agentic-rag/lessons/13-function-calling.md
"What happens after the model returns a function call, and why do we need to send the full conversation history back to the API?",01-agentic-rag/lessons/13-function-calling.md
How can the model choose a better search query than the original user message when it decides to call the tool?,01-agentic-rag/lessons/13-function-calling.md
"Why does agentic RAG usually cost more than plain RAG, and how do you estimate the token cost from the response?",01-agentic-rag/lessons/13-function-calling.md
Why do we need a loop for tool use instead of just making one function call and then answering?,01-agentic-rag/lessons/14-agentic-loop.md
"What are the three main pieces of an agent in this lesson, and what does each one do?",01-agentic-rag/lessons/14-agentic-loop.md
How does the code know when to keep calling the model and when to stop?,01-agentic-rag/lessons/14-agentic-loop.md
"Why does the lesson wrap the function-call handling in a helper, and what does that helper return?",01-agentic-rag/lessons/14-agentic-loop.md
"How can you make the assistant do more than one search, or keep it from answering off-topic questions?",01-agentic-rag/lessons/14-agentic-loop.md
Why would someone use ToyAIKit instead of writing the agent loop by hand every time?,01-agentic-rag/lessons/15-frameworks.md
How can ToyAIKit figure out a tool’s schema without me writing JSON manually?,01-agentic-rag/lessons/15-frameworks.md
What pieces do you need to create before running an agent with ToyAIKit in a notebook?,01-agentic-rag/lessons/15-frameworks.md
"What does the runner return after one prompt, and how can I inspect the token usage or total cost?",01-agentic-rag/lessons/15-frameworks.md
"How do you continue the same chat in a second call, or switch to an interactive back-and-forth session?",01-agentic-rag/lessons/15-frameworks.md
What parts of an agent setup stay the same even if I switch to a different framework?,01-agentic-rag/lessons/16-other-frameworks.md
"If I'm already using OpenAI, which agent framework does this lesson suggest, and what can it do?",01-agentic-rag/lessons/16-other-frameworks.md
Which framework is described as a good fit if I want type safety and support for more than one model provider?,01-agentic-rag/lessons/16-other-frameworks.md
When would LangChain or LangGraph make more sense than the other options mentioned here?,01-agentic-rag/lessons/16-other-frameworks.md
"Why does the lesson say I should try simpler approaches before building an agent, and what are some examples?",01-agentic-rag/lessons/16-other-frameworks.md
Why does keyword search have trouble with questions that mean the same thing but use different words?,02-vector-search/lessons/01-intro.md
What is vector search trying to match instead of exact terms?,02-vector-search/lessons/01-intro.md
How does the vector search workflow work from indexing documents to answering a query?,02-vector-search/lessons/01-intro.md
What does cosine similarity tell you about two text embeddings?,02-vector-search/lessons/01-intro.md
"When should I choose vector search over keyword search, and why might combining both be useful?",02-vector-search/lessons/01-intro.md
"What does it mean to embed text, and why do we need embeddings before doing vector search?",02-vector-search/lessons/02-embeddings.md
"How are word embeddings and sentence embeddings different, and how does context change the vector for a word?",02-vector-search/lessons/02-embeddings.md
"Which embedding model does the lesson recommend for the FAQ example, and why is it a good fit?",02-vector-search/lessons/02-embeddings.md
"How do you tell whether two texts are similar using embeddings, and what does a higher dot product mean?",02-vector-search/lessons/02-embeddings.md
"What is cosine similarity in this lesson, and why does the dot product work when the vectors are normalized?",02-vector-search/lessons/02-embeddings.md
How do you prepare each FAQ entry before creating embeddings for the full dataset?,02-vector-search/lessons/03-embeddings-dataset.md
Why does this lesson combine the question and answer into one text before encoding?,02-vector-search/lessons/03-embeddings-dataset.md
Why do they split the FAQ texts into batches instead of embedding everything at once?,02-vector-search/lessons/03-embeddings-dataset.md
"How many embedding vectors do they end up with, and what does that number represent?",02-vector-search/lessons/03-embeddings-dataset.md
"What is the shape of the final NumPy array, and what do the two dimensions mean?",02-vector-search/lessons/03-embeddings-dataset.md
"How does vector search rank documents for a user question, step by step?",02-vector-search/lessons/04-vector-search.md
Why is using a matrix dot product faster than looping through documents one by one?,02-vector-search/lessons/04-vector-search.md
How do you get the single best matching document from all the similarity scores?,02-vector-search/lessons/04-vector-search.md
What is the easiest way to grab the top 5 matching documents instead of just one?,02-vector-search/lessons/04-vector-search.md
Why do retrieval systems often send several top matches to the LLM instead of only the best one?,02-vector-search/lessons/04-vector-search.md
